# name,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name,star_distance,star_metallicity,star_mass,star_sp_type
HD 222582 b,572.38,1.35,0.725,1999,Radial Velocity,HD 222582,42,-0.0229,0.99,G5
HD 224538 b,1189.1,2.28,0.464,2016,Radial Velocity,HD 224538,77.76,0.27,1.54,F9IV/V
HD 224693 b,26.73,0.233,0.05,2006,Radial Velocity,HD 224693,94,0.343,1.33,G2IV
HD 22781 b,528.07,1.167,0.8191,2011,Radial Velocity,HD 22781,31.79,-0.37,0.75,K0V
HD 23079 b,730.6,1.596,0.102,2001,Radial Velocity,HD 23079,34.8,-0.24,1.1,F8/G0 V
HD 23127 b,1214,2.4,0.44,2007,Radial Velocity,HD 23127,89.1,0.34,1.13,G2V
HD 231701 b,141.89,0.53,0.096,2007,Radial Velocity,HD 231701,108.4,0.07,1.14,F8V
HD 233604 b,192,0.747,0.05,2013,Radial Velocity,HD 233604,,-0.36,1.5,K5
HD 23472 b,17.667,0.121,0,2018,Primary Transit,HD 23472,39.1,,0.75,K3.5V
HD 23472 c,29.625,0.17,0,2018,Primary Transit,HD 23472,39.1,,0.75,K3.5V
HD 23596 b,1565,2.88,0.292,2002,Radial Velocity,HD 23596,52,0.32,1.27,F8
HD 238914 b,4100,5.7,0.56,2018,Radial Velocity,HD 238914,590,-0.25,1.47,K7
HD 240210 b,501.75,1.33,0.15,2009,Radial Velocity,HD 240210,143,-0.18,1.25,K3III
HD 240237 b,745.7,1.9,0.4,2010,Radial Velocity,HD 240237,1500,-0.26,1.69,K2III
HD 24040 b,3668,4.92,0.04,2006,Radial Velocity,HD 24040,46.51,0.206,1.18,G0
HD 24064 b,555.6,1.29,0.35,2015,Radial Velocity,HD 24064,264.4,-0.49,1,K0
HD 24085 b,2.0455,0.034,0.22,2019,Radial Velocity,HD 24085,54.97,,1.22,G0V
HD 25015 b,6019,6.19,0.39,2019,Radial Velocity,HD 25015,37.45,0.04,0.86,K2V
HD 25171 b,1845,3.02,0.08,2010,Radial Velocity,HD 25171,55,-0.11,1.09,F8V
HD 2638 b,3.43752,0.044,0.0407,2005,Radial Velocity,HD 2638,53.71,0.16,0.93,G5
HD 2685 b,4.12692,0.0568,0,2018,Primary Transit,HD 2685,197.98,0.02,1.44,
HD 26965 b,42.378,0.215,0.04,2018,Radial Velocity,HD 26965,4.98,-0.42,0.78,K0.5V
HD 27442 b,415.2,1.16,0.058,2000,Radial Velocity,HD 27442,18.1,0.22,1.2,K2 IV a
HD 27631 b,2208,3.25,0.12,2011,Radial Velocity,HD 27631,45.5,,,G3IV
HD 27894 b,18.02,0.125,0.047,2005,Radial Velocity,HD 27894,42.37,0.3,0.8,K2 V
HD 27894 c,36.07,0.198,0.015,2017,Radial Velocity,HD 27894,42.37,0.3,0.8,K2 V
HD 27894 d,5174,5.448,0.389,2017,Radial Velocity,HD 27894,42.37,0.3,0.8,K2 V
HD 28185 b,383,1.03,0.07,2001,Radial Velocity,HD 28185,39.4,0.24,1.24,G5
HD 28254 b,1116,2.15,0.81,2009,Radial Velocity,HD 28254,56.2,0.36,1.06,G1IV/V
HD 283668 b,2558,3.3,0.577,2016,Radial Velocity,HD 283668,42.3,-0.75,0.68,
HD 283869 b,106,0.4,,2018,Primary Transit,HD 283869,47.51,0.15,0.74,
HD 285507 b,6.0881,0.0729,0.086,2013,Radial Velocity,HD 285507,41.3,0.13,0.734,K5
HD 286123 b,11.168454,0.104,0.258,2018,Primary Transit,HD 286123,133.1,0.1,1.188,F9V
HD 28678 b,387.1,1.24,0.168,2011,Radial Velocity,HD 28678,227,-0.11,1.74,K0D
HD 29021 b,1362.3,2.28,0.459,2017,Radial Velocity,HD 29021,30.6,-0.24,0.85,G5
HD 290327 b,2443,3.43,0.08,2009,Radial Velocity,HD 290327,54.9,-0.11,0.9,G8V
HD 2952 b,311.6,1.2,0.129,2013,Radial Velocity,HD 2952,115.2,0,2.54,K0III
HD 30177 b,2532.5,3.58,0.18,2002,Radial Velocity,HD 30177,54.7,0.33,1.05,G8 V
HD 30177 c,6921,6.99,0.35,2016,Radial Velocity,HD 30177,54.7,0.33,1.05,G8 V
HD 30562 b,1157,2.3,0.76,2009,Radial Velocity,HD 30562,26.5,0.243,1.219,F8V
HD 30669 b,1684,2.69,0.18,2014,Radial Velocity,HD 30669,57,0.13,0.92,G9V
HD 30856 b,912,2,0.24,2011,Radial Velocity,HD 30856,118.1,-0.06,1.35,K0III
HD 31253 b,466,1.26,0.3,2010,Radial Velocity,HD 31253,53.82,0.16,1.23,F8
HD 31527 b,16.557,0.1253,0.16,2011,Radial Velocity,HD 31527,38.6,,,G0V
HD 31527 c,51.2,0.2665,0.08,2011,Radial Velocity,HD 31527,38.6,,,G0V
HD 31527 d,274.2,0.8181,0.67,2011,Radial Velocity,HD 31527,38.6,,,G0V
HD 3167 b,0.959641,0.01815,,2016,Primary Transit,HD 3167,45.8,0,0.88,G
HD 3167 c,29.8454,0.1795,0.267,2016,Primary Transit,HD 3167,45.8,0,0.88,G
HD 3167 d,8.492,0.07757,0.36,2017,Radial Velocity,HD 3167,45.8,0,0.88,G
HD 32518 b,157.54,0.59,0.01,2009,Radial Velocity,HD 32518,117.4,-0.15,1.13,K1III
HD 32963 b,2372,3.41,0.07,2015,Radial Velocity,HD 32963,,0.11,0.94,G5IV
HD 330075 b,3.6413,0.039,0.0187,2004,Radial Velocity,HD 330075,50.2,0.03,0.95,G5
HD 33142 b,326,1.07,0.066,2011,Radial Velocity,HD 33142,126,0.05,1.54,K0III
HD 33142 c,809,1.96,0.16,2010,Radial Velocity,HD 33142,126,0.05,1.54,K0III
HD 33283 b,18.1801,0.168,0.458,2006,Radial Velocity,HD 33283,86,0.366,1.24,G3V
HD 33564 b,388,1.1,0.34,2005,Radial Velocity,HD 33564,20.98,-0.12,1.25,F6 V
HD 33844 b,551.4,1.6,0.15,2013,Radial Velocity,HD 33844,100.9,,1.75,
HD 33844 c,916,2.24,0.13,2015,Radial Velocity,HD 33844,100.9,,1.75,
HD 34445 b,1056.7,2.075,0.014,2004,Radial Velocity,HD 34445,46.5,0.14,1.07,G0V
HD 34445 c,214.67,0.7181,0.036,2017,Radial Velocity,HD 34445,46.5,0.14,1.07,G0V
HD 34445 d,117.87,0.4817,0.027,2017,Radial Velocity,HD 34445,46.5,0.14,1.07,G0V
HD 34445 e,49.175,0.2687,0.09,2017,Radial Velocity,HD 34445,46.5,0.14,1.07,G0V
HD 34445 f,676.8,1.543,0.031,2017,Radial Velocity,HD 34445,46.5,0.14,1.07,G0V
HD 34445 g,5700,6.36,0.032,2017,Radial Velocity,HD 34445,46.5,0.14,1.07,G0V
HD 35759 b,82.467,0.389,0.389,2016,Radial Velocity,HD 35759,72.5,0.04,1.15,G0
HD 3651 b,62.25,0.295,0.645,2003,Radial Velocity,HD 3651,11,0.05,0.79,K0 V
HD 37124 b,154.378,0.53364,0.054,1999,Radial Velocity,HD 37124,33,-0.442,0.83,G4 V
HD 37124 c,885.5,1.71,0.125,2005,Radial Velocity,HD 37124,33,-0.442,0.83,G4 V
HD 37124 d,1862,2.807,0.16,2003,Radial Velocity,HD 37124,33,-0.442,0.83,G4 V
HD 37605 b,55.01307,0.2837,0.6767,2004,Radial Velocity,HD 37605,44,0.34,1,K0V
HD 37605 c,2720,3.814,0.013,2012,Radial Velocity,HD 37605,44,0.34,1,K0V
HD 38283 b,363.2,1.02,0.41,2011,Radial Velocity,HD 38283,37.7,-0.24,1.085,F9.5V
HD 38529 b,14.3104,0.131,0.248,2000,Radial Velocity,HD 38529,39.28,0.27,1.48,G4 IV
HD 38529 c,2134.76,3.695,0.36,2002,Radial Velocity,HD 38529,39.28,0.27,1.48,G4 IV
HD 38801 b,686.8,1.66,0.059,2010,Radial Velocity,HD 38801,99.4,0.26,1.26,K0IV
HD 38858 b,407.15,1.0376,0.27,2011,Radial Velocity,HD 38858,15.2,,,G4V
HD 39194 b,5.6363,0.0519,0.2,2011,Radial Velocity,HD 39194,25.9,,,K0V
HD 39194 c,14.025,0.0954,0.11,2011,Radial Velocity,HD 39194,25.9,,,K0V
HD 39194 d,33.941,0.172,0.2,2011,Radial Velocity,HD 39194,25.9,,,K0V
HD 39392 b,394.3,1.08,0.394,2016,Radial Velocity,HD 39392,94.2,0.32,1.08,F8
HD 39855 b,3.2498,0.041,0.14,2019,Radial Velocity,HD 39855,23.28,,0.87,G8V
HD 40307 b,4.3114,0.0475,0.12,2008,Radial Velocity,HD 40307,12.8,-0.31,0.77,K2.5V
HD 40307 c,9.621,0.0812,0.05,2008,Radial Velocity,HD 40307,12.8,-0.31,0.77,K2.5V
HD 40307 d,20.412,0.134,0.07,2008,Radial Velocity,HD 40307,12.8,-0.31,0.77,K2.5V
HD 40307 e,34.62,0.1886,0.15,2012,Radial Velocity,HD 40307,12.8,-0.31,0.77,K2.5V
HD 40307 f,51.68,0.2485,0.19,2012,Radial Velocity,HD 40307,12.8,-0.31,0.77,K2.5V
HD 40307 g,197.8,0.6,0.29,2012,Radial Velocity,HD 40307,12.8,-0.31,0.77,K2.5V
HD 40956 b,578.6,1.4,0.24,2017,Radial Velocity,HD 40956,118,0.14,2,K0
HD 40979 b,264.1,0.846,0.252,2002,Radial Velocity,HD 40979,33.3,0.194,1.1,F8 V
HD 41004 A b,963,1.64,0.39,2004,Radial Velocity,HD 41004 A,42.5,-0.09,0.7,K1 V
HD 41004 B b,1.32363,0.0177,0.058,2004,Radial Velocity,HD 41004 B,43.03,-0.01,0.4,M2
HD 4113 b,526.62,1.28,0.903,2007,Radial Velocity,HD 4113,44,0.2,0.99,G5V
HD 42012 b,857.5,1.67,0,2017,Radial Velocity,HD 42012,37.1,-0.09,0.83,K0
HD 4203 b,437.05,1.164,0.52,2001,Radial Velocity,HD 4203,77.5,0.453,1.13,G5
HD 4203 c,6700,,0.24,2014,Radial Velocity,HD 4203,77.5,0.453,1.13,G5
HD 4208 b,828,1.65,0.052,2001,Radial Velocity,HD 4208,33.9,-0.284,0.87,G5 V
HD 42618 b,149.61,0.554,0.19,2016,Radial Velocity,HD 42618,23.5,-0.09,1.015,G4V
HD 4308 b,15.609,0.118,0.27,2005,Radial Velocity,HD 4308,21.9,-0.34,0.85,G5 V
HD 4313 b,356,1.19,0.041,2010,Radial Velocity,HD 4313,137,0.14,1.72,G5 D
HD 43197 b,327.8,0.92,0.83,2009,Radial Velocity,HD 43197,54.9,0.4,0.96,G8V
HD 43691 b,36.96,0.24,0.14,2007,Radial Velocity,HD 43691,93.2,0.28,1.38,G0IV
HD 44219 b,472.3,1.19,0.61,2009,Radial Velocity,HD 44219,50.43,0.03,1,G2V
HD 44385 b,473.5,1.4,0.2,2018,Radial Velocity,HD 44385,214,0.1,1.8,K0D
HD 45184 b,5.8872,0.0638,0.3,2011,Radial Velocity,HD 45184,21.9,,,G1.5V
HD 45350 b,890.76,1.92,0.778,2004,Radial Velocity,HD 45350,49,0.29,1.02,G5 IV
HD 45364 b,226.93,0.6813,0.1684,2009,Radial Velocity,HD 45364,32.6,-0.17,0.82,K0V
HD 45364 c,342.85,0.8972,0.0974,2009,Radial Velocity,HD 45364,32.6,-0.17,0.82,K0V
HD 45652 b,43.6,0.23,0.38,2008,Radial Velocity,HD 45652,36,0.29,0.83,G8-K0
HD 46375 b,3.02358,0.041,0.0524,2000,Radial Velocity,HD 46375,33.4,0.24,0.91,K1 IV
HD 47186 b,4.0845,0.05,0.038,2008,Radial Velocity,HD 47186,37.84,0.23,0.99,G5V
HD 47186 c,1353.6,2.395,0.249,2008,Radial Velocity,HD 47186,37.84,0.23,0.99,G5V
HD 4732 b,360.2,1.19,0.13,2013,Radial Velocity,HD 4732,56.5,0.01,1.74,K0 IV
HD 4732 c,2732,4.6,0.23,2013,Radial Velocity,HD 4732,56.5,0.01,1.74,K0 IV
HD 47366 b,363.3,1.214,0.089,2016,Radial Velocity,HD 47366,80,-0.02,1.81,K1III
HD 47366 c,684.7,1.853,0.278,2016,Radial Velocity,HD 47366,80,-0.02,1.81,K1III
HD 4747 b,13835.67,16.4,0.74,2016,Radial Velocity,HD 4747,18.69,-0.22,0.82,G9V
HD 47536 b,430,1.61,0.2,2003,Radial Velocity,HD 47536,121.36,-0.68,0.94,K1 III
HD 48265 b,700,1.51,0.18,2008,Radial Velocity,HD 48265,87.4,0.17,0.93,G5V
HD 4917 b,400.5,,,2013,Radial Velocity,HD 4917,134.4,,1.32,KOIII/IV
HD 49674 b,4.94739,0.058,0.0495,2002,Radial Velocity,HD 49674,40.7,0.25,1.07,G5 V
HD 50499 b,2483.7,3.93,0.27,2005,Radial Velocity,HD 50499,47.26,0.38,1.31,G IV
HD 50499 c,8620,9.02,0,2005,Radial Velocity,HD 50499,47.26,0.38,1.31,G IV
HD 50554 b,1293,2.41,0.5,2002,Radial Velocity,HD 50554,31.03,-0.07,1.04,F8
HD 51608 b,14.07,0.1059,0.15,2011,Radial Velocity,HD 51608,34.8,,,K0IV
HD 51608 c,95.415,0.3791,0.41,2011,Radial Velocity,HD 51608,34.8,,,K0IV
HD 52265 b,119.27,0.52,0.27,2000,Radial Velocity,HD 52265,28,0.21,1.2,G0 V
HD 5319 b,675,1.75,0.12,2007,Radial Velocity,HD 5319,100,0.15,1.56,G5IV
HD 5319 c,886,2.071,0.15,2016,Radial Velocity,HD 5319,100,0.15,1.56,G5IV
HD 55696 b,1827,3.18,0.705,2018,Radial Velocity,HD 55696,72,0.37,1.29,G0V
HD 5583 b,139.35,0.53,0.076,2016,Radial Velocity,HD 5583,221,-0.5,1.01,K0
HD 5608 b,779.9,1.911,0.056,2012,Radial Velocity,HD 5608,58.2,0.06,1.53,K0IV
HD 564 b,492.3,1.2,0.096,2014,Radial Velocity,HD 564,54,0.13,0.92,G3V
HD 5891 b,177.11,0.76,0.066,2011,Radial Velocity,HD 5891,251,-0.02,1.91,G5D
HD 59686 A b,299.36,1.086,0.05,2003,Radial Velocity,HD 59686 A,96.8,0.15,1.9,K2 III
HD 60532 b,201.83,0.77,0.278,2008,Radial Velocity,HD 60532,25.7,-0.26,1.44,F6IV-V
HD 60532 c,607.06,1.58,0.038,2008,Radial Velocity,HD 60532,25.7,-0.26,1.44,F6IV-V
HD 62509 b,589.64,1.69,0.02,2006,Radial Velocity,HD 62509,10.34,0.19,1.47, K0IIIb
HD 63454 b,2.81747,0.036,0.0177,2005,Radial Velocity,HD 63454,35.8,0.11,0.8,K4 V
HD 63765 b,358,0.949,0.24,2009,Radial Velocity,HD 63765,32.6,-0.16,0.865,G9V
HD 64114 b,45.791,0.246,0.12,2019,Radial Velocity,HD 64114,31.56,,0.95,G7V
HD 6434 b,21.998,0.14,0.17,2000,Radial Velocity,HD 6434,40.32,-0.52,0.79,G3 IV
HD 65216 b,577.6,1.301,0.27,2003,Radial Velocity,HD 65216,34.3,-0.12,0.92,G5 V
HD 65216 c,5370,5.75,0.17,2011,Radial Velocity,HD 65216,34.3,-0.12,0.92,G5 V
HD 66141 b,480.5,1.2,0.07,2012,Radial Velocity,HD 66141,80.9,-0.32,1.1,K2III
HD 66428 b,1973,3.18,0.465,2006,Radial Velocity,HD 66428,55,0.31,1.14552,G5
HD 67087 b,352.2,1.08,0.17,2015,Radial Velocity,HD 67087,88.8,0.25,1.36,F8 V
HD 67087 c,2374,3.86,0.76,2015,Radial Velocity,HD 67087,88.8,0.25,1.36,F8 V
HD 6718 b,2496,3.56,0.1,2009,Radial Velocity,HD 6718,55.9,-0.06,0.96,G5V
HD 68402 b,1103,2.18,0.03,2016,Radial Velocity,HD 68402,78,0.29,1.12,G5IV/V
HD 68988 b,6.2771,0.0704,0.1249,2001,Radial Velocity,HD 68988,58,0.24,1.2,G0
HD 69830 b,8.6682,0.0785,0.07,2006,Radial Velocity,HD 69830,12.6,-0.05,0.86,K0V
HD 69830 c,31.601,0.186,0.06,2006,Radial Velocity,HD 69830,12.6,-0.05,0.86,K0V
HD 69830 d,200.57,0.63,0.1,2006,Radial Velocity,HD 69830,12.6,-0.05,0.86,K0V
HD 70642 b,2231,3.3,0.1,2003,Radial Velocity,HD 70642,28.8,0.16,1,G5 IV-V
HD 7199 b,615,1.36,0.19,2011,Radial Velocity,HD 7199,36,0.28,0.89,K0IV/V
HD 72490 b,858,1.88,0.124,2018,Radial Velocity,HD 72490,124.22,,1.21,G5
HD 72659 b,3658,4.74,0.22,2002,Radial Velocity,HD 72659,49.8,-0.02,0.95,G2 V
HD 72892 b,39.475,0.228,0.423,2016,Radial Velocity,HD 72892,72.78,0.25,1.02,G5V
HD 73267 b,1260,2.198,0.256,2008,Radial Velocity,HD 73267,54.91,0.03,0.89,G5V
HD 73526 b,188.9,0.65,0.29,2002,Radial Velocity,HD 73526,99,0.25,1.08,G6 V
HD 73526 c,379.1,1.03,0.28,2006,Radial Velocity,HD 73526,99,0.25,1.08,G6 V
HD 73534 b,1800,3.15,0.046,2009,Radial Velocity,HD 73534,96.99,0.16,1.29,G5IV
HD 74156 b,51.6385,0.2916,0.638,2003,Radial Velocity,HD 74156,64.56,0.13,1.24,G1V
HD 74156 c,2448.9,3.82,0.3829,2003,Radial Velocity,HD 74156,64.56,0.13,1.24,G1V
HD 7449 b,1255.5,2.38,0.92,2011,Radial Velocity,HD 7449,39,-0.11,1.05,F8V
HD 7449 c,15441,12.7,0,2011,Radial Velocity,HD 7449,39,-0.11,1.05,F8V
HD 75289 b,3.50928,0.046,0.0211,1999,Radial Velocity,HD 75289,28.94,0.29,1.05,G0 V
HD 75784 b,341.7,1.073,0.13,2014,Primary Transit,HD 75784,68.7,0.25,1.41,K3 IV
HD 75784 c,5040,6.5,0.36,2015,Primary Transit,HD 75784,68.7,0.25,1.41,K3 IV
HD 75898 b,418.2,1.19,0.1,2007,Radial Velocity,HD 75898,80.58,0.27,1.28,G0
HD 76700 b,3.97101,0.049,0.0616,2002,Radial Velocity,HD 76700,59.7,0.14,1,G6 V
HD 76920 b,415.4,1.149,0.856,2017,Radial Velocity,HD 76920,184.8,-0.11,1.17,K1III
HD 77065 b,119.1135,0.438,0.69397,2016,Radial Velocity,HD 77065,31.7,-0.51,0.75,G5
HD 77338 b,5.7561,0.0614,,2012,Radial Velocity,HD 77338,40.75,0.35,0.93,K0IV
HD 7924 b,5.39792,0.05664,0.058,2009,Radial Velocity,HD 7924,16.8,-0.15,0.832,K0V
HD 7924 c,15.299,0.1134,0.098,2015,Radial Velocity,HD 7924,16.8,-0.15,0.832,K0V
HD 7924 d,24.451,0.1551,0.21,2015,Radial Velocity,HD 7924,16.8,-0.15,0.832,K0V
HD 79498 b,1966,3.13,0.59,2012,Radial Velocity,HD 79498,49,0.24,1.06,G5
HD 80606 b,111.43637,0.449,0.93366,2001,Primary Transit,HD 80606,58.4,0.43,0.98,G5
HD 81040 b,1001.7,1.94,0.526,2005,Radial Velocity,HD 81040,32.56,-0.16,0.96,G2/G3
HD 81688 b,184.02,0.66,0,2008,Radial Velocity,HD 81688,88.26,-0.359,2.1,K0III-IV
HD 82886 b,705,1.65,0.27,2011,Radial Velocity,HD 82886,125,-0.31,1.06,G0
HD 82943 b,442.4,1.19,0.203,2003,Radial Velocity,HD 82943,27.46,0.32,1.18,G0
HD 82943 c,219.3,0.746,0.425,2003,Radial Velocity,HD 82943,27.46,0.32,1.18,G0
HD 82943 d,1078,2.145,0,2013,Radial Velocity,HD 82943,27.46,0.32,1.18,G0
HD 8326 b,159,0.533,0.2,2019,Radial Velocity,HD 8326,30.71,,0.8,K2V
HD 83443 b,2.98572,0.0406,0.007,2002,Radial Velocity,HD 83443,43.54,0.35,0.9,K0 V
HD 8535 b,1313,2.45,0.15,2009,Radial Velocity,HD 8535,52.5,0.02,1.13,G0V
HD 85390 b,799.52,1.373,0.5,2009,Radial Velocity,HD 85390,33.96,-0.07,0.76,K1V
HD 85512 b,58.43,0.26,0.11,2011,Radial Velocity,HD 85512,11.15,-0.33,0.69,K5V
HD 85628 A b,2.82406,0.047,0,2019,Primary Transit,HD 85628 A,171.54,0,1.75,A3V
HD 8574 b,227.55,0.77,0.288,2003,Radial Velocity,HD 8574,44.2,0.05,1.17,F8
HD 86081 b,1.99809,0.039,0.0575,2006,Radial Velocity,HD 86081,91,0.257,1.21,F8V
HD 86226 b,1534,2.6,0.73,2010,Radial Velocity,HD 86226,42.48,-0.04,1.02,G2V
HD 86264 b,1475,2.86,0.7,2009,Radial Velocity,HD 86264,72.6,0.202,1.42,F7V
HD 8673 b,1634,3.02,0.723,2010,Radial Velocity,HD 8673,38.25,0.14,1.35,F7 V
HD 86950 b,1270,2.72,0.17,2016,Radial Velocity,HD 86950,169,0.04,1.66,K1 III
HD 87646 A b,13.481,0.117,0.05,2016,Radial Velocity,HD 87646 A,,-0.17,1.12,G1IV
HD 87646 A c,674,1.58,0.5,2016,Radial Velocity,HD 87646 A,,-0.17,1.12,G1IV
HD 87883 b,2754,3.6,0.53,2009,Radial Velocity,HD 87883,18.1,0.093,0.82,K0V
HD 88133 b,3.41566,0.047,0.0761,2004,Radial Velocity,HD 88133,74.5,0.34,1.2,G5 IV
HD 89307 b,2199,3.34,0.25,2004,Radial Velocity,HD 89307,30.9,-0.14,1.028,G0V
HD 89345 b,11.81399,0.105,0.203,2018,Primary Transit,HD 89345,126.6,0.45,1.12,G5V
HD 89744 b,256.78,0.917,0.677,2000,Radial Velocity,HD 89744,40,0.18,1.4,F7 V
HD 89744 c,6974,8.3,0.29,2013,Radial Velocity,HD 89744,40,0.18,1.4,F7 V
HD 90156 b,49.77,0.25,0.31,2009,Radial Velocity,HD 90156,39.6,-0.24,0.84,G5V
HD 9174 b,1179,2.2,0.12,2016,Radial Velocity,HD 9174,78.93,0.39,1.03,G8IV
HD 92788 b,325.8,0.97,0.35,2000,Radial Velocity,HD 92788,32.82,0.27,1.15,G5
HD 92788 c,11611.3,10.5,0.46,2013,Radial Velocity,HD 92788,32.82,0.27,1.15,G5
HD 92987 b,10790,9.75,0.25,2019,Radial Velocity,HD 92987,43.66,-0.08,1.08,G2/3V
HD 93083 b,143.58,0.477,0.14,2005,Radial Velocity,HD 93083,28.9,0.15,0.7,K3 V
HD 93385 b,13.186,0.1116,0.15,2011,Radial Velocity,HD 93385,42.2,,,G2V
HD 93385 c,46.025,0.257,0.24,2011,Radial Velocity,HD 93385,42.2,,,G2V
HD 9446 b,30.052,0.189,0.2,2010,Radial Velocity,HD 9446,53,0.09,1,G5V
HD 9446 c,192.9,0.654,0.06,2010,Radial Velocity,HD 9446,53,0.09,1,G5V
HD 94834 b,1576,2.74,0.14,2018,Radial Velocity,HD 94834,81,,1.11,K1
HD 95089 b,507,1.51,0.157,2010,Radial Velocity,HD 95089,139,0.05,1.58,K0 IV
HD 95089 c,1860,,0.294,2010,Radial Velocity,HD 95089,139,0.05,1.58,K0 IV
HD 95127 b,482,1.28,0.11,2015,Radial Velocity,HD 95127,300,-0.18,1.2,K0
HD 9578 b,494,,,2009,Radial Velocity,HD 9578,57.24,0.11,1.12,G1V
HD 95872 b,4375,5.2,0.06,2015,Radial Velocity,HD 95872,7.56,0.41,0.95,K0V
HD 96063 b,361.1,0.99,0.28,2011,Radial Velocity,HD 96063,158,-0.3,1.02,K0
HD 96127 b,647.3,1.4,0.3,2011,Radial Velocity,HD 96127,540,-0.24,0.91,K2III
HD 96167 b,498.9,1.3,0.71,2009,Radial Velocity,HD 96167,84,0.34,1.31,G5D
HD 96700 b,8.1256,0.0774,0.1,2011,Radial Velocity,HD 96700,25.6,,,G0V
HD 96700 c,103.49,0.422,0.37,2011,Radial Velocity,HD 96700,25.6,,,G0V
HD 97619 b,665.9,1.6,0.23,2018,Radial Velocity,HD 97619,213,-0.07,1.3,K0 E
HD 97658 b,9.4903,0.08,0.078,2010,Primary Transit,HD 97658,21.1,-0.23,0.85,K1V
HD 98219 b,436.9,1.23,0.21,2011,Radial Velocity,HD 98219,134,-0.02,1.3,K0III/IV
HD 98649 b,6023,6.57,0.86,2011,Radial Velocity,HD 98649,40.3,0.05,1.03,G4V
HD 98736 b,968.8,1.864,0.226,2018,Radial Velocity,HD 98736,31,0.24,0.92,G5
HD 99109 b,439.3,1.105,0.09,2006,Radial Velocity,HD 99109,60.5,0.315,0.93,K0
HD 99492 b,17.054,0.123,0.07,2004,Radial Velocity,HD 99492,18,0.36,0.83,K2V
HD 99706 b,868,2.14,0.365,2011,Radial Velocity,HD 99706,129,0.14,1.72,K0
HD 99706 c,1123,,0.411,2010,Radial Velocity,HD 99706,129,0.14,1.72,K0
HIP 105854 b,184.2,0.655,0.02,2014,Radial Velocity,HIP 105854,80.84,0.31,2.1,K2III
HIP 107773 b,144.3,0.72,0.09,2015,Radial Velocity,HIP 107773,106,0.03,2.42,
HIP 109384 b,499.48,1.134,0.549,2016,Radial Velocity,HIP 109384,56.2,-0.26,0.78,G5
HIP 109600 b,232.08,0.706,0.163,2016,Radial Velocity,HIP 109600,58.6,-0.12,0.87,G5
HIP 116454 b,9.1265,0.098,0.205,2014,Primary Transit,HIP 116454,55.2,-0.16,0.775,K2
HIP 11915,3830,4.8,0.1,2015,Radial Velocity,HIP 11915,57.3,-0.059,1,G5V
HIP 12961 b,57.435,0.13,0.16,2009,Radial Velocity,HIP 12961,23,-0.07,0.67,M0V
HIP 14810 b,6.673855,0.0692,0.1427,2006,Radial Velocity,HIP 14810,52.9,0.26,0.99,G5
HIP 14810 c,147.73,0.545,0.164,2006,Radial Velocity,HIP 14810,52.9,0.26,0.99,G5
HIP 14810 d,962,1.89,0.173,2009,Radial Velocity,HIP 14810,52.9,0.26,0.99,G5
HIP 35173 b,41.516,0.217,0.16,2019,Radial Velocity,HIP 35173,33.19,,0.79,K2V
HIP 41378 b,15.5712,,,2016,Primary Transit,HIP 41378,116,-0.11,1.15,
HIP 41378 c,31.6978,,,2016,Primary Transit,HIP 41378,116,-0.11,1.15,
HIP 41378 d,157,,,2016,Primary Transit,HIP 41378,116,-0.11,1.15,
HIP 41378 e,131,,,2016,Primary Transit,HIP 41378,116,-0.11,1.15,
HIP 41378 f,542,,,2016,Primary Transit,HIP 41378,116,-0.11,1.15,
HIP 41378 g,62.06,0.3227,0.06,2019,Radial Velocity,HIP 41378,116,-0.11,1.15,
HIP 5158 b,345.63,0.89,0.54,2009,Radial Velocity,HIP 5158,45,0.1,0.78,K5V
HIP 5158 c,9018,7.7,0.14,2010,Radial Velocity,HIP 5158,45,0.1,0.78,K5V
HIP 54373 b,7.76,0.063,0.2,2019,Radial Velocity,HIP 54373,18.73,,0.57,K5V
HIP 54373 c,15.144,0.099,0.2,2019,Radial Velocity,HIP 54373,18.73,,0.57,K5V
HIP 57050 b,41.397,0.163506,0.314,2010,Radial Velocity,HIP 57050,11,0.32,0.34,M4V
HIP 57050 c,532.58,0.912,0.342,2017,Radial Velocity,HIP 57050,11,0.32,0.34,M4V
HIP 57274 b,8.1352,0.07,0.187,2011,Radial Velocity,HIP 57274,25.92,0.09,0.73,K5V
HIP 57274 c,32.03,0.178,0.05,2011,Radial Velocity,HIP 57274,25.92,0.09,0.73,K5V
HIP 57274 d,431.7,1.01,0.27,2011,Radial Velocity,HIP 57274,25.92,0.09,0.73,K5V
HIP 63242 b,124.6,0.565,0.23,2013,Radial Velocity,HIP 63242,135,-0.31,1.54,G8III
HIP 65407 b,28.125,0.177,0.14,2016,Radial Velocity,HIP 65407,16.74,0.25,0.93,K0
HIP 65407 c,67.3,0.316,0.12,2016,Radial Velocity,HIP 65407,16.74,0.25,0.93,K0
HIP 65891 b,1084.5,2.81,0.13,2015,Radial Velocity,HIP 65891,136,0.16,2.5,K0III
HIP 67537 b,2592.5,4.96,0.59,2016,Radial Velocity,HIP 67537,112.6,0.15,2.41,K1III
